pdf,study,field,status,priority,legacy_value_json,legacy_normalized_json,llm_a_value_json,llm_a_normalized_json,llm_b_value_json,llm_b_normalized_json,agreement_pattern,reviewed_value_json,decision_status,reviewer,decision_reason,evidence_quote,page,notes,suggested_value_json,suggested_source,suggestion_confidence,suggested_decision_status,review_action,suggestion_reason,needs_pdf_check,alignment_issue,alignment_evidence
Ooi 2012.pdf,Ooi 2012,Primary diagnosis,all_different,high,"""AD (SM)""","[""selective mutism""]",null,[],"""PTSD""","[""posttraumatic stress disorder""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Heard 1992.pdf,Heard 1992,Sample type,all_different,high,"""Ref""","[""referred""]",null,[],"""Combination/Com""","[""combination""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Eisen 2008.pdf,Eisen 2008,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Neuhoff 2006.pdf (Neuhoff 2006)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Setting,all_different,high,"""OPC""","[""outpatient psychiatric center""]",null,[],"""OTH""","[""other""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Heard 1992.pdf,Heard 1992,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""mixed code (clinical settings, school settings, outpatient clinics)""","[""mixed code (clinical settings"", ""outpatient clinics)"", ""school settings""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Eisen 2008.pdf,Eisen 2008,Total Number of Observations,all_different,high,"[13, 14, 15, 16]","[""13"", ""14"", ""15"", ""16""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Neuhoff 2006.pdf (Neuhoff 2006)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Total Number of Observations,all_different,high,"[19, 17, 20]","[""17"", ""19"", ""20""]",null,[],"""varied per participant, weekly assessments over baseline, treatment and follow-up phases""","[""varied per participant, weekly assessments over baseline, treatment and follow-up phases""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Heard 1992.pdf,Heard 1992,Total Number of Observations,all_different,high,11,"[""11""]",null,[],"""varies by study, sample sizes range from single cases to over 100 participants""","[""varies by study, sample sizes range from single cases to over 100 participants""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Treatment directed at,all_different,high,"[""child"", ""parent""]","[""child"", ""parent""]",null,[],"""parent""","[""parent""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Treatment length,all_different,high,"[23, 24, 28]","[""23"", ""24"", ""28""]",null,[],"""16 sessions""","[""16""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Heard 1992.pdf,Heard 1992,Treatment length,all_different,high,12,"[""12""]",null,[],"[""12 weeks"", ""16 weeks"", ""10 sessions"", ""4 weeks"", ""3-9 weeks"", ""11 weeks""]","[""10"", ""11"", ""12"", ""16"", ""3-9"", ""4""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Ooi 2012.pdf,Ooi 2012,Treatment length,all_different,high,14,"[""14""]",null,[],"""12-28 sessions""","[""12-28 sessions""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Treatment length,all_different,high,"[12, 25, 28]","[""12"", ""25"", ""28""]",null,[],"""12-28 sessions""","[""12-28 sessions""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Eisen 2008.pdf,Eisen 2008,Treatment protocol,all_different,high,"""PT""","[""pt""]",null,[],"""10 individualized weekly sessions, 1.5 hours each, focusing on education, skills building, practice, and relapse prevention""","[""10 individualized weekly sessions, 1.5 hours each, focusing on education, skills building, practice, and relapse prevention""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Neuhoff 2006.pdf (Neuhoff 2006)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Treatment protocol,all_different,high,"""TF-CBT""","[""trauma focused cognitive behavioral therapy""]",null,[],"[""Manualised TF-CBT programme (Feather & Ronan, 2004)""]","[""manualised tf-cbt programme (feather & ronan, 2004)""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Treatment protocol,all_different,high,"""session protocol (Silverman)""","[""session protocol (silverman)""]",null,[],"""Integrated cognitive-behavioral parent-training protocol specifically for parents of separation-anxious youth""","[""integrated cognitive-behavioral parent-training protocol specifically for parents of separation-anxious youth""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Ooi 2012.pdf,Ooi 2012,Treatment protocol,all_different,high,"""Meeky Mouse, web-based""","[""meeky mouse, web-based""]",null,[],"""TF-CBT manual based on PRACTICE components""","[""tf-cbt manual based on practice components""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Treatment protocol,all_different,high,"""TF-CBT""","[""trauma focused cognitive behavioral therapy""]",null,[],"""TF-CBT manual with modifications for affective modulation and caregiver involvement""","[""tf-cbt manual with modifications for affective modulation and caregiver involvement""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Heard 1992.pdf,Heard 1992,Type of SCED design,all_different,high,"""multiple baseline design""","[""multiple baseline design""]",null,[],"""multiple baseline, randomized controlled trials, case reports, functional analytic approach""","[""multiple baseline, randomized controlled trials, case reports, functional analytic approach""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Type of SCED design,all_different,high,"""pre-post design""","[""pre-post design""]",null,[],"""multiple baseline design across participants""","[""multiple baseline design""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Ooi 2012.pdf,Ooi 2012,Type of SCED design,all_different,high,"""pre-post design""","[""pre-post design""]",null,[],"""case series""","[""case series""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf (Unterhitzenberger 2015)
Unterhitzenberger 2015 - Trauma-focused cognitive behavioral therapy with unaccompanied refugee minors.pdf,Unterhitzenberger 2015,Type of SCED design,all_different,high,"""pre-post""","[""pre-post design""]",null,[],"""case series""","[""case series""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Ooi 2012.pdf (Ooi 2012)
Neuhoff 2006.pdf,Neuhoff 2006,Type of publication,all_different,high,"""dissertation""","[""dissertation""]",null,[],"""article""","[""article""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Eisen 2008.pdf,Eisen 2008,Type of treatments,all_different,high,"""CBT, parent training""","[""behavioral parent training"", ""cognitive behavioral therapy""]","""integrated cognitive-behavioral parent-training protocol""","[""integrated cognitive-behavioral parent-training protocol""]","""Parent Training (PT) - integrated cognitive-behavioral protocol""","[""parent training - integrated cognitive-behavioral protocol""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Neuhoff 2006.pdf (Neuhoff 2006)
Feather 2006 - Traumafocused_cognitive_behavi.PDF.pdf,Feather 2006,Type of treatments,all_different,high,"""CBT""","[""cognitive behavioral therapy""]",null,[],"[""Trauma-focused cognitive behavioural therapy (TF-CBT)""]","[""trauma focused cognitive behavioral therapy""]",all available non-empty values differ,,,,,,,PDF alignment issue: empty_extracted_blocks; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,empty_extracted_blocks,No text found in the first two pages of Feather 2006 - Traumafocused_cognitive_behavi.PDF_blocks.json.
Heard 1992.pdf,Heard 1992,Type of treatments,all_different,high,"""CBT""","[""cognitive behavioral therapy""]","[""Cognitive-Behavioral Treatments"", ""Behavioral Treatments""]","[""behavioral treatments"", ""cognitive-behavioral treatments""]","[""Cognitive-Behavioral Therapy (CBT)"", ""Family Anxiety Management (FAM)"", ""Group CBT"", ""Individual CBT"", ""Exposure-based treatments"", ""Relaxation training"", ""Cognitive restructuring"", ""Social skills training"", ""Contingency management"", ""Functional analytic approach""]","[""cognitive behavioral therapy"", ""cognitive restructuring"", ""contingency management"", ""exposure-based treatments"", ""family anxiety management"", ""functional analytic approach"", ""group cbt"", ""individual cbt"", ""relaxation training"", ""social skills training""]",all available non-empty values differ,,,,,,,PDF alignment issue: legacy_author_not_in_first_pages; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,legacy_author_not_in_first_pages,Legacy study author token 'heard' was not found in the first two pages of Heard 1992_blocks.json.
Neuhoff 2006.pdf,Neuhoff 2006,Type of treatments,all_different,high,"""CBT; parent training""","[""behavioral parent training"", ""cognitive behavioral therapy""]","""integrated cognitive-behavioral parent-training protocol""","[""integrated cognitive-behavioral parent-training protocol""]","""Parent training (PT) cognitive-behavioral protocol""","[""parent training cognitive-behavioral protocol""]",all available non-empty values differ,,,,,,,PDF alignment issue: duplicate_pdf_file; see review/pdf_alignment_issues.csv.,,,none,,fix_pdf_alignment_first,PDF alignment issue: fix file mapping or extracted text before field-level review. All available source values differ; source PDF review required before choosing a value.,alignment_issue,duplicate_pdf_file,Same SHA-256 hash as another input PDF filename. Related: Eisen 2008.pdf (Eisen 2008)
Jarrett 2012.pdf,Jarrett 2012,Age,two_llms_agree_legacy_diff,high,"""mean age 8.88""","[""mean age 8.88""]","[8, 12]","[""8-12""]","""8-12""","[""8-12""]",llm_a=llm_b; legacy differs,,,,,,,,"""8-12""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Leger 2003.pdf,Leger 2003,Age,two_llms_agree_legacy_diff,high,"[17, 16]","[""16-17""]","[16, 17, 18]","[""16-18""]","[16, 17, 18]","[""16-18""]",llm_a=llm_b; legacy differs,,,,,,,,"[16, 17, 18]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Lewis 2015.pdf,Lewis 2015,Age,two_llms_agree_legacy_diff,high,"[7, 4, 6, 5]","[""4-7""]","[5, 7]","[""5-7""]","""5 to 7 years""","[""5-7""]",llm_a=llm_b; legacy differs,,,,,,,,"""5 to 7 years""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Olivier 2021.pdf,Olivier 2021,Age,two_llms_agree_legacy_diff,high,"[4, 5, 7, 6]","[""4-7""]","[4, 8]","[""4-8""]","""4 to 8 years""","[""4-8""]",llm_a=llm_b; legacy differs,,,,,,,,"""4 to 8 years""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Pathak 2005.pdf,Pathak 2005,Age,two_llms_agree_legacy_diff,high,"[13, 16, 15, 14]","[""13-16""]","[13, 18]","[""13-18""]","""13-18 years""","[""13-18""]",llm_a=llm_b; legacy differs,,,,,,,,"""13-18 years""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Saigh 1987.pdf,Saigh 1987,Country,two_llms_agree_legacy_diff,high,"""USA""","[""united states""]","""Lebanon""","[""lebanon""]","""Lebanon""","[""lebanon""]",llm_a=llm_b; legacy differs,,,,,,,,"""Lebanon""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Yorke 2013 - Equine-assisted therapy and its impact on cortisol levels of children and horses  a pilot study and meta-analysis.pdf,Yorke 2013,Country,two_llms_agree_legacy_diff,high,"""USA""","[""united states""]","[""Canada"", ""USA""]","[""canada"", ""united states""]","""Canada, USA""","[""canada"", ""united states""]",llm_a=llm_b; legacy differs,,,,,,,,"""Canada, USA""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Leger 2003.pdf,Leger 2003,Ethnicity / Race,two_llms_agree_legacy_diff,high,"""NR""","[""not reported""]","""French Canadian""","[""french canadian""]","""French Canadian""","[""french canadian""]",llm_a=llm_b; legacy differs,,,,,,,,"""French Canadian""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Number of Cases,two_llms_agree_legacy_diff,high,4,"[""4""]",6,"[""6""]",6,"[""6""]",llm_a=llm_b; legacy differs,,,,,,,,6,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Gaynor 2008.pdf,Gaynor 2008,Number of Cases,two_llms_agree_legacy_diff,high,3,"[""3""]",4,"[""4""]",4,"[""4""]",llm_a=llm_b; legacy differs,,,,,,,,4,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Leger 2003.pdf,Leger 2003,Number of Cases,two_llms_agree_legacy_diff,high,4,"[""4""]",7,"[""7""]",7,"[""7""]",llm_a=llm_b; legacy differs,,,,,,,,7,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Pathak 2005.pdf,Pathak 2005,Number of Cases,two_llms_agree_legacy_diff,high,7,"[""7""]",10,"[""10""]",10,"[""10""]",llm_a=llm_b; legacy differs,,,,,,,,10,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Reuland 2014.pdf,Reuland 2014,Number of Cases,two_llms_agree_legacy_diff,high,17,"[""17""]",18,"[""18""]",18,"[""18""]",llm_a=llm_b; legacy differs,,,,,,,,18,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Santucci 2009.pdf,Santucci 2009,Number of Cases,two_llms_agree_legacy_diff,high,4,"[""4""]",5,"[""5""]",5,"[""5""]",llm_a=llm_b; legacy differs,,,,,,,,5,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Storch 2015 - A Case Series of Cognitive-Behavioral Therapy Augmentation of Antidepressant Medication for Anxiety in Children With Autism Spectrum Disorders.pdf,Storch 2015,Number of Cases,two_llms_agree_legacy_diff,high,6,"[""6""]",7,"[""7""]",7,"[""7""]",llm_a=llm_b; legacy differs,,,,,,,,7,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Bowyer 2014.pdf,Bowyer 2014,Total Number of Observations,two_llms_agree_legacy_diff,high,null,[],3,"[""3""]","""3 (assessment/start, mid-treatment, end of treatment)""","[""3""]",llm_a=llm_b; legacy differs,,,,,,,,"""3 (assessment/start, mid-treatment, end of treatment)""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Hendriks 2017 - Child Psychology Psychiatry - Intensive prolonged exposure treatment for adolescent complex posttraumatic.pdf,Hendriks 2017,Total Number of Observations,two_llms_agree_legacy_diff,high,17,"[""17""]",21,"[""21""]",21,"[""21""]",llm_a=llm_b; legacy differs,,,,,,,,21,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Malboeuf-Hurtubise 2017.pdf,Malboeuf-Hurtubise 2017,Total Number of Observations,two_llms_agree_legacy_diff,high,7,"[""7""]",10,"[""10""]",10,"[""10""]",llm_a=llm_b; legacy differs,,,,,,,,10,llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Bechor 2014.pdf,Bechor 2014,Type of treatments,two_llms_agree_legacy_diff,high,"""Attention Bias Modification Training""","[""attention bias modification""]","[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]","[""attention bias modification"", ""cognitive behavioral therapy""]","[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]","[""attention bias modification"", ""cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,,,,,,,,"[""Attention Bias Modification Treatment (ABMT)"", ""Cognitive Behavioral Therapy (CBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Cunningham 2009.pdf,Cunningham 2009,Type of treatments,two_llms_agree_legacy_diff,high,"""Cognitive behavioral treatment; self-help""","[""cognitive behavioral therapy"", ""self-help""]","""computer-based cognitive behavioural therapy (CBT) via Cool Teens CD-ROM""","[""cognitive behavioral therapy""]","[""computer-based cognitive behavioural therapy (CBT)""]","[""cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,,,,,,,,"[""computer-based cognitive behavioural therapy (CBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Ehrenreich 2009.pdf,Ehrenreich 2009,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT, emotion-focused""","[""cognitive behavioral therapy"", ""emotion-focused""]","""Unified Protocol for the Treatment of Emotional Disorders (modified version for adolescents)""","[""unified protocol for the treatment of emotional disorders""]","[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]","[""unified protocol for the treatment of emotional disorders""]",llm_a=llm_b; legacy differs,,,,,,,,"[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
Esveldt-Dawson 1982.pdf,Esveldt-Dawson 1982,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","[""instructions"", ""performance feedback"", ""participant modeling"", ""social reinforcement""]","[""instructions"", ""participant modeling"", ""performance feedback"", ""social reinforcement""]","[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]","[""instructions"", ""participant modeling"", ""performance feedback"", ""social reinforcement""]",llm_a=llm_b; legacy differs,,,,,,,,"[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,yes,,
